stimFile,Valence
stims/2312.jpg,Negative
stims/2850.jpg,Negative
stims/4000.jpg,Negative
stims/4001.jpg,Negative
stims/4003.jpg,Negative
stims/4180.jpg,Negative
stims/4490.jpg,Negative
stims/4520.jpg,Negative
stims/4525.jpg,Negative
stims/4530.jpg,Negative
stims/5535.jpg,Negative
stims/6314.jpg,Negative
stims/7130.jpg,Negative
stims/7180.jpg,Negative
stims/7190.jpg,Negative
stims/7237.jpg,Negative
stims/7496.jpg,Negative
stims/7820.jpg,Negative
stims/7830.jpg,Negative
stims/8050.jpg,Negative
stims/8116.jpg,Negative
stims/9045.jpg,Negative
